area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
6000,3,2,4,1,0,0,0,1,1,0,0
7200,3,2,1,1,0,1,0,1,3,0,1
3816,2,1,1,1,0,1,0,1,2,0,0
2610,3,1,2,1,0,1,0,0,0,1,2
3750,3,1,2,1,0,0,0,0,0,0,2
5010,3,1,2,1,0,1,0,0,0,0,1
3850,3,1,2,1,0,0,0,0,0,0,2
5076,3,1,1,0,0,0,0,0,0,0,2
3180,3,1,1,0,0,0,0,0,0,0,2
6020,3,1,1,1,0,0,0,0,0,0,1
3120,3,1,2,0,0,1,1,0,0,0,1
7700,2,1,1,1,0,0,0,0,0,0,2
7000,3,1,1,1,0,0,0,0,3,0,0
3570,3,1,2,1,0,1,0,0,0,0,1
3000,2,1,2,1,0,0,0,1,0,0,0
6450,3,2,1,1,1,1,1,0,0,0,2
2400,3,1,1,0,0,0,0,0,0,0,1
5300,4,2,1,1,0,0,0,1,0,1,2
7424,3,1,1,0,0,0,0,0,0,0,2
12090,4,2,2,1,0,0,0,0,2,1,0
7260,3,2,1,1,1,1,0,0,3,0,0
3000,3,1,2,1,0,0,0,0,0,0,1
5200,3,1,3,1,0,0,0,1,0,0,1
8400,3,1,2,1,1,1,0,1,2,1,2
6525,3,2,4,1,0,0,0,0,1,0,0
3650,3,1,2,1,0,0,0,0,0,0,2
3635,2,1,1,0,0,0,0,0,0,0,2
4000,3,1,1,1,0,0,0,0,0,0,1
4600,2,2,1,1,0,0,0,1,2,0,1
5640,2,1,1,0,0,0,0,0,0,0,1
3520,3,1,2,1,0,0,0,0,0,1,1
1836,2,1,1,0,0,1,0,0,0,0,1
3150,3,1,2,1,0,1,0,0,0,0,0
5680,3,1,2,1,1,0,0,1,1,0,1
2145,3,1,3,1,0,0,0,0,1,1,2
8100,2,1,1,1,0,0,0,0,1,0,2
3930,2,1,1,0,0,0,0,0,0,0,2
6420,3,2,2,1,0,0,0,1,1,1,1
4130,3,2,2,1,0,0,0,0,2,0,1
11440,4,1,2,1,0,1,0,0,1,1,1
9667,4,2,2,1,1,1,0,0,1,0,1
10360,2,1,1,1,0,0,0,0,1,1,1
5960,3,1,2,1,1,1,0,0,0,0,2
2880,3,1,2,1,0,0,0,0,0,1,1
6360,2,1,2,1,0,0,0,0,0,0,2
3480,3,1,2,0,0,0,0,0,1,0,1
8100,4,1,4,1,0,1,0,1,2,0,1
6540,4,2,2,1,1,1,0,1,2,1,0
2787,3,1,1,1,0,1,0,0,0,1,0
6480,3,2,4,1,0,0,0,1,2,0,2
3600,6,1,2,1,0,0,0,0,1,0,2
3185,2,1,1,1,0,1,0,0,2,0,0
4410,4,3,2,1,0,1,0,0,2,0,1
9000,3,1,2,1,0,0,0,0,2,0,1
3650,3,2,2,1,0,0,0,0,2,0,1
7160,3,1,1,1,0,1,0,0,2,1,2
3584,2,1,1,1,0,0,1,0,0,0,1
4280,2,1,1,1,0,0,0,1,2,0,1
7000,3,1,4,1,0,0,0,1,2,0,1
9620,3,1,1,1,0,1,0,0,2,1,0
9166,2,1,1,1,0,1,0,1,2,0,1
2160,3,1,2,0,0,1,0,0,0,0,1
6050,3,1,1,1,0,1,0,0,0,1,1
9000,4,2,4,1,1,0,0,1,1,1,0
5320,3,1,2,1,1,1,0,0,0,1,1
8800,3,2,2,1,0,0,0,1,2,0,0
8500,3,2,4,1,0,0,0,1,2,0,0
5880,2,1,1,1,0,0,0,0,0,0,2
13200,2,1,1,1,0,1,1,0,1,0,0
4510,4,2,2,1,0,1,0,0,0,0,1
4075,3,1,1,1,1,1,0,0,2,0,1
3510,3,1,2,1,0,0,0,0,0,0,1
2856,3,1,3,1,0,0,0,0,0,1,0
6000,4,2,4,1,0,0,0,0,1,0,1
4500,4,2,1,0,0,1,0,1,2,0,1
6600,3,1,1,1,1,1,0,0,0,1,0
3510,3,1,3,1,0,0,0,0,0,0,1
4560,3,2,2,1,1,1,0,1,1,0,0
3480,2,1,1,1,0,0,0,0,1,0,1
2398,3,1,1,1,0,0,0,0,0,1,1
3500,2,1,1,1,1,0,0,0,0,0,2
7500,3,3,1,1,0,1,0,1,2,1,1
6900,3,2,1,1,1,1,0,0,0,1,2
6000,3,2,3,1,0,0,0,1,0,0,1
6060,2,1,1,1,0,1,0,0,1,0,1
3600,3,1,1,1,0,1,0,1,0,1,0
6600,4,2,2,1,1,1,0,1,1,1,2
4300,3,2,2,1,0,1,0,0,1,0,2
4770,3,1,1,1,1,1,0,0,0,0,1
4040,2,1,1,1,0,0,0,0,0,0,2
7500,4,2,2,1,0,1,0,1,3,1,0
4950,4,1,2,1,0,0,0,1,0,0,1
5300,5,2,2,1,0,0,0,0,0,0,1
6000,3,2,2,1,1,0,0,0,1,0,1
7686,3,1,1,1,1,1,1,0,0,0,1
3264,2,1,1,1,0,0,0,0,0,0,2
6600,3,1,1,1,1,1,0,0,2,1,1
4050,2,1,1,1,0,0,0,0,0,0,0
3640,3,2,2,1,0,1,0,0,0,0,2
5500,4,2,2,1,0,1,0,1,1,1,1
3880,3,2,2,1,0,1,0,0,2,0,1
12900,3,1,1,1,0,0,0,0,2,0,0
6000,3,2,4,1,1,1,0,1,0,1,1
16200,5,3,2,1,0,0,0,0,0,0,2
7200,3,1,2,1,1,1,0,0,1,1,0
7440,3,2,4,1,0,0,0,0,1,1,2
3240,4,1,3,1,0,0,0,0,1,0,1
9000,4,2,4,1,0,0,0,1,2,0,0
2817,4,2,2,0,1,1,0,0,1,0,0
4840,2,1,2,1,0,0,0,0,0,0,2
6420,3,1,1,1,0,1,0,1,0,1,0
2145,3,1,3,1,0,0,0,0,0,1,0
6800,2,1,1,1,1,1,0,0,2,0,0
3210,3,1,2,1,0,1,0,0,0,0,2
5400,4,1,2,1,0,0,0,0,0,0,1
